1n;1;"C4"
2.2n;2;"C15 C22"
10n;4;"C5 C6 C9 C10"
100n;8;"C3 C12 C16 C19 C23"
4u7;7;"C1 C2 C11 C18 C24"
54u;2;"C17 C20"
1N5819;5;"D3 D4"
47uH;2;"L1 L2"
led;4;"P7 P10 P13 P14"
bc857;8;"Q1 Q3 Q7 Q9 Q12 Q13 Q17 Q18"
bc847;9;"Q2 Q4 Q6 Q8 Q10 Q11 Q14 Q15 Q16"
irlml2244;1;"Q5"
3;2;"R7 R8"
10;1;"R1"
100;1;"R20"
300;4;"R50 R55 R56 R60"
1k;19;"R2 R10 R12 R13 R18 R19 R24 R26 R27 R35 R36 R37 R38 R39 R40 R45 R46 R47 R49"
2k;2;"R21 R22"
4k7;1;"R51"
5k1;1;"R32"
10k;7;"R41"
12k;1;"R31"
16k;1;"R17"
20k;1;"R34"
30k;12;"R42"
NCP3063;2;"U6 U7"
AD8607_2;2;"U2 U5"
MINI-USB-B;1;"U4"
DS18S20;1;"U8"

